,ACCIDENT_NO,ATMOSPH_COND,ATMOSPH_COND_SEQ,Atmosph Cond Desc
143321,T20160000013,1,1,Clear
143322,T20160000015,1,1,Clear
143325,T20160000019,1,1,Clear
143328,T20160000028,1,1,Clear
143329,T20160000031,1,1,Clear
143331,T20160000033,1,1,Clear
143332,T20160000034,1,1,Clear
143334,T20160000037,1,1,Clear
143335,T20160000038,1,1,Clear
143336,T20160000043,1,1,Clear
143337,T20160000046,1,1,Clear
143338,T20160000048,1,1,Clear
143339,T20160000049,1,1,Clear
143340,T20160000050,1,1,Clear
143341,T20160000051,1,1,Clear
143342,T20160000052,1,1,Clear
143343,T20160000053,1,1,Clear
143344,T20160000053,6,2,Dust
143345,T20160000056,1,1,Clear
143346,T20160000057,1,1,Clear
143347,T20160000058,1,1,Clear
143348,T20160000061,1,1,Clear
143349,T20160000066,1,1,Clear
143350,T20160000068,1,1,Clear
143351,T20160000069,1,1,Clear
143352,T20160000070,1,1,Clear
143354,T20160000076,1,1,Clear
143356,T20160000079,1,1,Clear
143358,T20160000082,2,1,Raining
143359,T20160000084,1,1,Clear
143360,T20160000086,1,1,Clear
143362,T20160000088,1,0,Clear
143364,T20160000091,4,1,Fog
143365,T20160000092,1,1,Clear
143366,T20160000094,1,1,Clear
143367,T20160000095,1,0,Clear
143369,T20160000099,1,0,Clear
143370,T20160000101,1,1,Clear
143371,T20160000102,2,0,Raining
143372,T20160000106,1,1,Clear
143373,T20160000108,1,1,Clear
143374,T20160000109,4,1,Fog
143375,T20160000113,1,1,Clear
143376,T20160000114,2,1,Raining
143377,T20160000117,1,1,Clear
143378,T20160000119,1,1,Clear
143379,T20160000119,7,2,Strong winds
143380,T20160000123,1,0,Clear
143381,T20160000126,1,1,Clear
143382,T20160000128,1,1,Clear
143383,T20160000130,1,1,Clear
143384,T20160000131,1,0,Clear
143385,T20160000133,2,1,Raining
143386,T20160000135,1,1,Clear
143387,T20160000136,1,1,Clear
143388,T20160000140,1,1,Clear
143389,T20160000143,1,0,Clear
143391,T20160000147,1,1,Clear
143394,T20160000152,1,1,Clear
143395,T20160000153,2,1,Raining
143396,T20160000154,1,0,Clear
143397,T20160000156,1,1,Clear
143398,T20160000157,2,1,Raining
143399,T20160000158,1,1,Clear
143401,T20160000162,1,1,Clear
143402,T20160000163,1,0,Clear
143403,T20160000164,1,1,Clear
143404,T20160000166,1,1,Clear
143405,T20160000168,1,1,Clear
143406,T20160000169,2,1,Raining
143407,T20160000172,1,0,Clear
143408,T20160000174,1,1,Clear
143409,T20160000176,1,1,Clear
143410,T20160000176,7,2,Strong winds
143411,T20160000178,6,1,Dust
143412,T20160000178,7,2,Strong winds
143413,T20160000179,1,1,Clear
143415,T20160000181,1,0,Clear
143416,T20160000183,1,1,Clear
143417,T20160000184,9,1,Not known
143418,T20160000185,1,1,Clear
143419,T20160000187,1,1,Clear
143420,T20160000191,1,1,Clear
143421,T20160000192,2,0,Raining
143422,T20160000195,1,1,Clear
143424,T20160000198,1,1,Clear
143426,T20160000202,1,1,Clear
143427,T20160000202,7,2,Strong winds
143429,T20160000207,1,0,Clear
143431,T20160000210,1,1,Clear
143432,T20160000211,1,1,Clear
143433,T20160000212,1,0,Clear
143434,T20160000213,2,1,Raining
143436,T20160000216,9,1,Not known
143437,T20160000217,1,1,Clear
