,ACCIDENT_NO,ACCIDENTDATE
0,T20160000013,2016-01-01
1,T20160000015,2016-01-01
2,T20160000019,2016-01-01
3,T20160000028,2016-01-01
4,T20160000031,2016-01-01
5,T20160000033,2016-01-01
6,T20160000034,2016-01-01
7,T20160000037,2016-01-01
8,T20160000038,2016-01-01
9,T20160000043,2016-01-01
10,T20160000046,2016-01-01
11,T20160000048,2016-01-01
12,T20160000049,2016-01-01
13,T20160000050,2016-01-01
14,T20160000051,2016-01-01
15,T20160000052,2016-01-01
16,T20160000053,2016-01-01
17,T20160000056,2016-01-01
18,T20160000057,2016-01-01
19,T20160000058,2016-01-01
20,T20160000061,2016-01-01
21,T20160000066,2016-01-01
22,T20160000068,2016-01-01
23,T20160000069,2016-01-01
24,T20160000070,2016-01-01
25,T20160000076,2016-01-01
26,T20160000079,2016-01-01
27,T20160000082,2016-01-01
28,T20160000084,2016-01-02
29,T20160000086,2016-01-02
30,T20160000088,2016-01-02
31,T20160000091,2016-01-02
32,T20160000092,2016-01-02
33,T20160000094,2016-01-01
34,T20160000095,2016-01-02
35,T20160000099,2016-01-02
36,T20160000101,2016-01-02
37,T20160000102,2016-01-02
38,T20160000106,2016-01-02
39,T20160000108,2016-01-02
40,T20160000109,2016-01-02
41,T20160000113,2016-01-02
42,T20160000114,2016-01-02
43,T20160000117,2016-01-02
44,T20160000119,2016-01-02
45,T20160000123,2016-01-02
46,T20160000126,2016-01-02
47,T20160000128,2016-01-02
48,T20160000130,2016-01-03
49,T20160000131,2016-01-03
50,T20160000133,2016-01-03
51,T20160000135,2016-01-02
52,T20160000136,2016-01-02
53,T20160000140,2016-01-03
54,T20160000143,2016-01-03
55,T20160000147,2016-01-03
56,T20160000152,2016-01-03
57,T20160000153,2016-01-03
58,T20160000154,2016-01-03
59,T20160000156,2016-01-03
60,T20160000157,2016-01-02
61,T20160000158,2016-01-03
62,T20160000162,2016-01-03
63,T20160000163,2016-01-03
64,T20160000164,2016-01-03
65,T20160000166,2016-01-03
66,T20160000168,2016-01-02
67,T20160000169,2016-01-03
68,T20160000172,2016-01-03
69,T20160000174,2016-01-03
70,T20160000176,2016-01-02
71,T20160000178,2016-01-03
72,T20160000179,2016-01-03
73,T20160000181,2016-01-03
74,T20160000183,2016-01-03
75,T20160000184,2016-01-03
76,T20160000185,2016-01-03
77,T20160000187,2016-01-02
78,T20160000191,2016-01-04
79,T20160000192,2016-01-03
80,T20160000195,2016-01-03
81,T20160000198,2016-01-03
82,T20160000202,2016-01-03
83,T20160000207,2016-01-03
84,T20160000210,2016-01-04
85,T20160000211,2016-01-04
86,T20160000212,2016-01-04
87,T20160000213,2016-01-04
88,T20160000216,2016-01-04
89,T20160000217,2016-01-01
90,T20160000220,2016-01-04
91,T20160000221,2016-01-04
92,T20160000223,2016-01-04
93,T20160000225,2016-01-04
94,T20160000226,2016-01-04
95,T20160000227,2016-01-04
96,T20160000231,2016-01-04
97,T20160000232,2016-01-03
98,T20160000234,2016-01-04
99,T20160000235,2016-01-04
100,T20160000238,2016-01-04
101,T20160000239,2016-01-04
102,T20160000243,2016-01-03
103,T20160000248,2016-01-04
104,T20160000250,2016-01-05
105,T20160000254,2016-01-05
106,T20160000255,2016-01-04
107,T20160000257,2016-01-04
108,T20160000260,2016-01-05
109,T20160000263,2016-01-05
110,T20160000264,2016-01-05
111,T20160000266,2016-01-01
112,T20160000268,2016-01-05
113,T20160000272,2016-01-04
114,T20160000275,2016-01-05
115,T20160000276,2016-01-05
116,T20160000281,2016-01-05
117,T20160000287,2016-01-05
118,T20160000288,2016-01-05
119,T20160000291,2016-01-05
120,T20160000292,2016-01-05
121,T20160000294,2016-01-05
122,T20160000296,2016-01-05
123,T20160000298,2016-01-05
124,T20160000299,2016-01-04
125,T20160000300,2016-01-05
126,T20160000301,2016-01-05
127,T20160000304,2016-01-05
128,T20160000305,2016-01-05
129,T20160000307,2016-01-05
130,T20160000308,2016-01-05
131,T20160000309,2016-01-04
132,T20160000311,2016-01-05
133,T20160000312,2016-01-05
134,T20160000313,2016-01-05
135,T20160000314,2016-01-05
136,T20160000318,2016-01-05
137,T20160000319,2016-01-05
138,T20160000320,2016-01-05
139,T20160000321,2016-01-06
140,T20160000324,2016-01-05
141,T20160000327,2016-01-05
142,T20160000338,2016-01-06
143,T20160000341,2016-01-06
144,T20160000343,2016-01-06
145,T20160000345,2016-01-04
146,T20160000348,2016-01-06
147,T20160000353,2016-01-06
148,T20160000355,2016-01-06
149,T20160000361,2016-01-06
150,T20160000363,2016-01-06
151,T20160000364,2016-01-02
152,T20160000366,2016-01-03
153,T20160000370,2016-01-06
154,T20160000371,2016-01-06
155,T20160000372,2016-01-06
156,T20160000374,2016-01-06
157,T20160000375,2016-01-06
158,T20160000382,2016-01-06
159,T20160000384,2016-01-06
160,T20160000385,2016-01-06
161,T20160000386,2016-01-06
162,T20160000388,2016-01-06
163,T20160000390,2016-01-06
164,T20160000392,2016-01-06
165,T20160000397,2016-01-07
166,T20160000398,2016-01-06
167,T20160000399,2016-01-06
168,T20160000401,2016-01-06
169,T20160000402,2016-01-07
170,T20160000406,2016-01-06
171,T20160000409,2016-01-06
172,T20160000412,2016-01-05
173,T20160000413,2016-01-07
174,T20160000416,2016-01-06
175,T20160000418,2016-01-07
176,T20160000420,2016-01-04
177,T20160000424,2016-01-07
178,T20160000427,2016-01-07
179,T20160000428,2016-01-07
180,T20160000430,2016-01-07
181,T20160000432,2016-01-07
182,T20160000435,2016-01-07
183,T20160000436,2016-01-06
184,T20160000437,2016-01-07
185,T20160000441,2016-01-01
186,T20160000445,2016-01-07
187,T20160000448,2016-01-07
188,T20160000449,2016-01-07
189,T20160000452,2016-01-07
190,T20160000453,2016-01-07
191,T20160000454,2016-01-06
192,T20160000457,2016-01-07
193,T20160000458,2016-01-07
194,T20160000461,2016-01-06
195,T20160000462,2016-01-07
196,T20160000463,2016-01-07
197,T20160000465,2016-01-07
198,T20160000468,2016-01-07
199,T20160000471,2016-01-07
200,T20160000473,2016-01-07
201,T20160000476,2016-01-07
202,T20160000477,2016-01-07
203,T20160000478,2016-01-08
204,T20160000479,2016-01-02
205,T20160000488,2016-01-08
206,T20160000490,2016-01-08
207,T20160000491,2016-01-08
208,T20160000492,2016-01-08
209,T20160000493,2016-01-05
210,T20160000495,2016-01-08
211,T20160000498,2016-01-08
212,T20160000499,2016-01-08
213,T20160000500,2016-01-08
214,T20160000501,2016-01-08
215,T20160000502,2016-01-06
216,T20160000503,2016-01-05
217,T20160000504,2016-01-08
218,T20160000507,2016-01-07
219,T20160000508,2016-01-04
220,T20160000515,2016-01-08
221,T20160000517,2016-01-08
222,T20160000521,2016-01-08
223,T20160000524,2016-01-08
224,T20160000525,2016-01-08
225,T20160000526,2016-01-08
226,T20160000528,2016-01-08
227,T20160000530,2016-01-08
228,T20160000532,2016-01-08
229,T20160000537,2016-01-08
230,T20160000538,2016-01-08
231,T20160000539,2016-01-08
232,T20160000541,2016-01-06
233,T20160000542,2016-01-08
234,T20160000544,2016-01-08
235,T20160000545,2016-01-08
236,T20160000546,2016-01-08
237,T20160000549,2016-01-09
238,T20160000550,2016-01-09
239,T20160000551,2016-01-09
240,T20160000552,2016-01-06
241,T20160000553,2016-01-09
242,T20160000555,2016-01-08
243,T20160000556,2016-01-09
244,T20160000560,2016-01-09
245,T20160000561,2016-01-09
246,T20160000562,2016-01-09
247,T20160000563,2016-01-09
248,T20160000564,2016-01-09
249,T20160000565,2016-01-02
250,T20160000566,2016-01-09
251,T20160000567,2016-01-09
252,T20160000570,2016-01-05
253,T20160000571,2016-01-09
254,T20160000572,2016-01-09
255,T20160000577,2016-01-09
256,T20160000578,2016-01-09
257,T20160000579,2016-01-09
258,T20160000580,2016-01-09
259,T20160000582,2016-01-09
260,T20160000584,2016-01-09
261,T20160000585,2016-01-09
262,T20160000590,2016-01-09
263,T20160000591,2016-01-09
264,T20160000592,2016-01-09
265,T20160000596,2016-01-09
266,T20160000598,2016-01-09
267,T20160000600,2016-01-10
268,T20160000605,2016-01-10
269,T20160000607,2016-01-10
270,T20160000610,2016-01-01
271,T20160000611,2016-01-10
272,T20160000612,2016-01-10
273,T20160000614,2016-01-10
274,T20160000619,2016-01-09
275,T20160000621,2016-01-10
276,T20160000622,2016-01-10
277,T20160000624,2016-01-10
278,T20160000626,2016-01-10
279,T20160000627,2016-01-10
280,T20160000628,2016-01-10
281,T20160000630,2016-01-09
282,T20160000632,2016-01-10
283,T20160000633,2016-01-10
284,T20160000634,2016-01-10
285,T20160000635,2016-01-10
286,T20160000637,2016-01-10
287,T20160000638,2016-01-10
288,T20160000640,2016-01-10
289,T20160000646,2016-01-10
290,T20160000647,2016-01-10
291,T20160000648,2016-01-10
292,T20160000649,2016-01-10
293,T20160000650,2016-01-11
294,T20160000656,2016-01-06
295,T20160000658,2016-01-07
296,T20160000659,2016-01-11
297,T20160000663,2016-01-03
298,T20160000666,2016-01-11
299,T20160000667,2016-01-09
300,T20160000670,2016-01-05
301,T20160000672,2016-01-11
302,T20160000673,2016-01-10
303,T20160000674,2016-01-11
304,T20160000677,2016-01-10
305,T20160000678,2016-01-11
306,T20160000679,2016-01-11
307,T20160000681,2016-01-11
308,T20160000682,2016-01-11
309,T20160000686,2016-01-11
310,T20160000691,2016-01-04
311,T20160000694,2016-01-11
312,T20160000699,2016-01-11
313,T20160000700,2016-01-11
314,T20160000703,2016-01-11
315,T20160000705,2016-01-11
316,T20160000707,2016-01-11
317,T20160000708,2016-01-11
318,T20160000710,2016-01-11
319,T20160000714,2016-01-03
320,T20160000715,2016-01-11
321,T20160000719,2016-01-11
322,T20160000723,2016-01-12
323,T20160000725,2016-01-12
324,T20160000726,2016-01-07
325,T20160000731,2016-01-09
326,T20160000733,2016-01-07
327,T20160000735,2016-01-11
328,T20160000736,2016-01-06
329,T20160000738,2016-01-12
330,T20160000740,2016-01-12
331,T20160000747,2016-01-12
332,T20160000753,2016-01-10
333,T20160000754,2016-01-12
334,T20160000756,2016-01-12
335,T20160000757,2016-01-12
336,T20160000758,2016-01-12
337,T20160000762,2016-01-12
338,T20160000763,2016-01-12
339,T20160000764,2016-01-12
340,T20160000765,2016-01-12
341,T20160000766,2016-01-09
342,T20160000770,2016-01-05
343,T20160000772,2016-01-12
344,T20160000773,2016-01-12
345,T20160000776,2016-01-12
346,T20160000777,2016-01-05
347,T20160000778,2016-01-12
348,T20160000780,2016-01-12
349,T20160000781,2016-01-12
350,T20160000783,2016-01-12
351,T20160000785,2016-01-12
352,T20160000789,2016-01-12
353,T20160000791,2016-01-12
354,T20160000793,2016-01-12
355,T20160000795,2016-01-12
356,T20160000798,2016-01-12
357,T20160000801,2016-01-13
358,T20160000802,2016-01-04
359,T20160000806,2016-01-13
360,T20160000808,2016-01-06
361,T20160000811,2016-01-13
362,T20160000813,2016-01-13
363,T20160000817,2016-01-11
364,T20160000820,2016-01-13
365,T20160000821,2016-01-13
366,T20160000822,2016-01-13
367,T20160000825,2016-01-13
368,T20160000828,2016-01-13
369,T20160000833,2016-01-10
370,T20160000841,2016-01-13
371,T20160000842,2016-01-13
372,T20160000843,2016-01-13
373,T20160000847,2016-01-13
374,T20160000848,2016-01-13
375,T20160000850,2016-01-13
376,T20160000851,2016-01-13
377,T20160000854,2016-01-13
378,T20160000857,2016-01-13
379,T20160000859,2016-01-11
380,T20160000860,2016-01-13
381,T20160000863,2016-01-13
382,T20160000867,2016-01-13
383,T20160000868,2016-01-13
384,T20160000869,2016-01-13
385,T20160000870,2016-01-11
386,T20160000871,2016-01-13
387,T20160000872,2016-01-13
388,T20160000873,2016-01-13
389,T20160000875,2016-01-14
390,T20160000877,2016-01-13
391,T20160000879,2016-01-12
