,ACCIDENT_NO,SURFACE_COND,Surface Cond Desc,SURFACE_COND_SEQ
141973,T20160000013,1,Dry,1
141974,T20160000015,1,Dry,1
141977,T20160000019,1,Dry,1
141980,T20160000028,1,Dry,1
141981,T20160000031,1,Dry,1
141983,T20160000033,1,Dry,1
141984,T20160000034,1,Dry,1
141986,T20160000037,1,Dry,1
141987,T20160000038,1,Dry,1
141988,T20160000043,1,Dry,1
141989,T20160000046,1,Dry,1
141990,T20160000048,1,Dry,1
141991,T20160000049,1,Dry,1
141992,T20160000050,1,Dry,1
141993,T20160000051,1,Dry,1
141994,T20160000052,1,Dry,1
141995,T20160000053,1,Dry,1
141996,T20160000056,1,Dry,1
141997,T20160000057,1,Dry,1
141998,T20160000058,1,Dry,1
141999,T20160000061,1,Dry,1
142000,T20160000066,1,Dry,1
142001,T20160000068,1,Dry,1
142002,T20160000069,1,Dry,1
142003,T20160000070,1,Dry,1
142005,T20160000076,1,Dry,1
142007,T20160000079,1,Dry,1
142009,T20160000082,2,Wet,1
142010,T20160000084,1,Dry,1
142011,T20160000086,1,Dry,1
142013,T20160000088,1,Dry,0
142015,T20160000091,2,Wet,1
142016,T20160000092,1,Dry,1
142017,T20160000094,1,Dry,1
142018,T20160000095,1,Dry,0
142020,T20160000099,1,Dry,0
142021,T20160000101,1,Dry,1
142022,T20160000102,2,Wet,0
142023,T20160000106,1,Dry,1
142024,T20160000108,1,Dry,1
142025,T20160000109,2,Wet,1
142026,T20160000113,1,Dry,1
142027,T20160000114,2,Wet,1
142028,T20160000117,1,Dry,1
142029,T20160000119,1,Dry,1
142030,T20160000123,1,Dry,0
142031,T20160000126,1,Dry,1
142032,T20160000128,1,Dry,1
142033,T20160000130,1,Dry,1
142034,T20160000131,1,Dry,0
142035,T20160000133,2,Wet,1
142036,T20160000135,1,Dry,1
142037,T20160000136,1,Dry,1
142038,T20160000140,5,Icy,1
142039,T20160000143,1,Dry,0
142041,T20160000147,1,Dry,1
142044,T20160000152,1,Dry,1
142045,T20160000153,2,Wet,1
142046,T20160000154,1,Dry,0
142047,T20160000156,1,Dry,1
142048,T20160000157,2,Wet,1
142049,T20160000158,1,Dry,1
142051,T20160000162,1,Dry,1
142052,T20160000163,1,Dry,0
142053,T20160000164,1,Dry,1
142054,T20160000166,1,Dry,1
142055,T20160000168,1,Dry,1
142056,T20160000169,2,Wet,1
142057,T20160000172,1,Dry,0
142058,T20160000174,1,Dry,1
142059,T20160000176,1,Dry,1
142060,T20160000178,1,Dry,1
142061,T20160000179,1,Dry,1
142063,T20160000181,1,Dry,0
142064,T20160000183,1,Dry,1
142065,T20160000184,9,Unknown,1
142066,T20160000185,1,Dry,1
142067,T20160000187,1,Dry,1
142068,T20160000191,1,Dry,1
142069,T20160000192,2,Wet,0
142070,T20160000195,1,Dry,1
142072,T20160000198,1,Dry,1
142074,T20160000202,1,Dry,1
142076,T20160000207,1,Dry,0
142078,T20160000210,1,Dry,1
142079,T20160000211,1,Dry,1
142080,T20160000212,1,Dry,0
142081,T20160000213,2,Wet,1
142083,T20160000216,1,Dry,1
142084,T20160000217,1,Dry,1
142085,T20160000220,1,Dry,1
142086,T20160000221,2,Wet,0
142087,T20160000223,2,Wet,1
142089,T20160000225,2,Wet,1
142090,T20160000226,2,Wet,1
142091,T20160000227,1,Dry,1
142093,T20160000231,9,Unknown,1
142094,T20160000232,2,Wet,1
142095,T20160000234,1,Dry,1
142096,T20160000235,1,Dry,0
142097,T20160000238,1,Dry,1
142098,T20160000239,1,Dry,1
142100,T20160000243,1,Dry,1
142104,T20160000248,1,Dry,1
142105,T20160000250,1,Dry,0
142107,T20160000254,1,Dry,1
142108,T20160000255,1,Dry,1
142109,T20160000257,2,Wet,1
142111,T20160000260,1,Dry,0
142112,T20160000263,2,Wet,1
142113,T20160000263,3,Muddy,2
142114,T20160000264,1,Dry,1
142116,T20160000266,1,Dry,1
142118,T20160000268,1,Dry,1
142120,T20160000272,1,Dry,1
142121,T20160000275,1,Dry,1
142122,T20160000276,1,Dry,1
142124,T20160000281,1,Dry,1
142126,T20160000287,1,Dry,1
142127,T20160000288,1,Dry,1
142128,T20160000291,1,Dry,1
142129,T20160000292,1,Dry,0
142130,T20160000294,2,Wet,1
142131,T20160000296,1,Dry,0
142132,T20160000298,1,Dry,1
142133,T20160000299,1,Dry,1
142134,T20160000300,2,Wet,1
142135,T20160000301,1,Dry,1
142136,T20160000304,1,Dry,1
142137,T20160000305,1,Dry,1
142138,T20160000307,1,Dry,1
142139,T20160000308,1,Dry,0
142140,T20160000309,1,Dry,1
142141,T20160000311,1,Dry,1
142142,T20160000312,1,Dry,1
142143,T20160000313,1,Dry,1
142144,T20160000314,1,Dry,0
142146,T20160000318,1,Dry,1
142147,T20160000319,2,Wet,1
142148,T20160000320,1,Dry,1
142149,T20160000321,1,Dry,1
142150,T20160000324,1,Dry,0
142151,T20160000327,1,Dry,1
142155,T20160000338,1,Dry,1
142157,T20160000341,1,Dry,1
142159,T20160000343,1,Dry,1
142160,T20160000345,1,Dry,1
142161,T20160000348,1,Dry,1
142163,T20160000353,1,Dry,1
142165,T20160000355,1,Dry,1
142169,T20160000361,1,Dry,0
142170,T20160000363,1,Dry,1
142171,T20160000364,1,Dry,0
142172,T20160000366,1,Dry,0
142173,T20160000370,1,Dry,1
142174,T20160000371,1,Dry,1
142175,T20160000372,1,Dry,1
142176,T20160000374,1,Dry,1
142177,T20160000375,1,Dry,1
142179,T20160000382,1,Dry,1
142180,T20160000384,1,Dry,1
142181,T20160000385,1,Dry,1
142182,T20160000386,1,Dry,1
142183,T20160000388,1,Dry,0
142184,T20160000390,1,Dry,1
142185,T20160000392,1,Dry,0
142186,T20160000397,2,Wet,1
142187,T20160000398,1,Dry,1
142188,T20160000399,1,Dry,1
142190,T20160000401,1,Dry,1
142191,T20160000402,1,Dry,1
142193,T20160000406,1,Dry,1
142195,T20160000409,1,Dry,1
142196,T20160000412,1,Dry,1
142197,T20160000413,1,Dry,1
142198,T20160000416,1,Dry,1
142199,T20160000418,1,Dry,1
142200,T20160000420,1,Dry,1
142204,T20160000424,1,Dry,0
142206,T20160000427,1,Dry,1
142207,T20160000428,1,Dry,0
142208,T20160000430,1,Dry,1
142209,T20160000432,1,Dry,1
142210,T20160000435,1,Dry,1
142211,T20160000436,1,Dry,1
142212,T20160000437,1,Dry,0
142213,T20160000441,1,Dry,1
142215,T20160000445,1,Dry,0
142216,T20160000448,1,Dry,1
142217,T20160000449,1,Dry,1
142219,T20160000452,1,Dry,1
142220,T20160000453,1,Dry,1
142221,T20160000454,1,Dry,1
142223,T20160000457,1,Dry,0
142224,T20160000458,1,Dry,1
142225,T20160000461,1,Dry,1
142226,T20160000462,1,Dry,1
142227,T20160000463,1,Dry,1
